,path,original_transcript,noise_type,asr_transcript,translation,wer,cer,mer,wip
0,samples_with_noise_snr5/spk_id_9235_16144789581693_bus.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,bus,сорок дев'ять дітей це найбільше кількість дітей від початку епідемія декілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.25,0.060240963855421686,0.23076923076923078,0.6410256410256411
1,samples_with_noise_snr5/spk_id_9235_16144789581693_cafeteria.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,cafeteria,сурокдевять дітей це найбільше кількість дітей від початку під декілька дітей в,ten children is the largest number of children since the beginning under several children in,0.4166666666666667,0.14457831325301204,0.4166666666666667,0.34027777777777785
2,samples_with_noise_snr5/spk_id_9235_16144789581693_car.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,car,сорок дев'ять дітей це найбільше кількість дітей від початку епідемідекілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.3333333333333333,0.07228915662650602,0.3076923076923077,0.5625
3,samples_with_noise_snr5/spk_id_9235_16144789581693_field.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,field,сорок дев'ять дітей це найбільше кількість дітей від початку епідемія декілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.25,0.060240963855421686,0.23076923076923078,0.6410256410256411
4,samples_with_noise_snr5/spk_id_9235_16144789581693_hallway.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,hallway,сорок дев'ять дітей це найбільше кільксть дітей від початку епідемія декілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.3333333333333333,0.07228915662650602,0.3076923076923077,0.5192307692307692
5,samples_with_noise_snr5/spk_id_9235_16144789581693_kitchen.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,kitchen,сорок дев'ять дітей це найбільше кількість дітей від початку піде декілька дітей в,forty-nine children is the largest number of children since the beginning will go to several children in,0.25,0.0963855421686747,0.23076923076923078,0.6410256410256411
6,samples_with_noise_snr5/spk_id_9235_16144789581693_living.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,living,сорок дев'ять дітей то найбільше кільість дітей від початку епідедекілька дітей в,forty-nine children is the largest number of children since the beginning of the epidemic,0.4166666666666667,0.10843373493975904,0.38461538461538464,0.4444444444444444
7,samples_with_noise_snr5/spk_id_9235_16144789581693_meeting.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,meeting,сорок дев'ять дітей це найбільше кількість дітей від спочатку під декілька дітей в,forty-nine children is the largest number of children from initially under several children in,0.3333333333333333,0.12048192771084337,0.3076923076923077,0.5192307692307692
8,samples_with_noise_snr5/spk_id_9235_16144789581693_metro.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,metro,сорок дев'ять дітей це найбільше кількість дітей від початку епідемія декілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.25,0.060240963855421686,0.23076923076923078,0.6410256410256411
9,samples_with_noise_snr5/spk_id_9235_16144789581693_office.wav,сорок дев'ять дітей найбільша кількість дітей від початку епідемії декілька дітей в,office,сорок дев'ять дітей це найбільше кількість дітей від початку епідемія декілька дітей в,Forty-nine children is the largest number of children since the beginning of the epidemic,0.25,0.060240963855421686,0.23076923076923078,0.6410256410256411
