common_voice_uk_24017714.wav	ти-с розпитав як дотуду їхати
common_voice_uk_24017716.wav	у поході брали участь князі андрій і олександр так званий невський
common_voice_uk_24017717.wav	чого ради
common_voice_uk_24017732.wav	а петрос по-грецькому є камінь а вітця твого
common_voice_uk_24017755.wav	годечан узяв піхво й поволі засилив меч назад
common_voice_uk_24017768.wav	розумний єси кітці хвоста зав'язати
common_voice_uk_24017770.wav	ходь ближчій махнув до нього маленький старчик у довгій непідперезаній сорочці
common_voice_uk_24017771.wav	жону перепитав орест але гатило повторювати не любив
common_voice_uk_24017773.wav	зайдь княже до господи
common_voice_uk_24017774.wav	я єсмь великий княже
common_voice_uk_24017777.wav	то ти скіф єси
common_voice_uk_24017778.wav	лізь речу заквапив товариша людота бо за півгоні внизу чулося стримане крякання
common_voice_uk_24017780.wav	дід покрутив підкову з усіх боків
common_voice_uk_24017783.wav	вишата розгублено мовив одне слово
common_voice_uk_24017788.wav	гримільда перебила його
common_voice_uk_24017790.wav	після трисідмичника що відбувсь двадцять перший день старці оголосили
common_voice_uk_24017794.wav	так є га
common_voice_uk_24017795.wav	та се замикалась одна з-поміж служниць і поквавлося прибрати таріль
common_voice_uk_24017798.wav	хотів би-м ректи та не відаю як би-сте подивилися на тоте
common_voice_uk_24017799.wav	войславе
common_voice_uk_24017800.wav	там погано княже
common_voice_uk_24017801.wav	се велить покон скіфів
common_voice_uk_24017804.wav	а грати підеш зі мною сьогодні купала
common_voice_uk_24017806.wav	одну здивувалася полонянка
common_voice_uk_24017813.wav	піди гукни
common_voice_uk_24017828.wav	шумило жиє
common_voice_uk_24017829.wav	й нарешті такі зловчився поставити ногу на стремено та людота вхопив коня за вузду
common_voice_uk_24017830.wav	лев заходився допитуватись
common_voice_uk_24017852.wav	та куди ти зажди-но не лякайсь
common_voice_uk_24017853.wav	коли великий князь київський не захоче то ніхто не зможе вмовити його
common_voice_uk_24017854.wav	годой сидів як не живий поганці знущалися з його віри
common_voice_uk_24017856.wav	коли я повідаю тобі щось ти не говорити-ймеш зо мною так
common_voice_uk_24017872.wav	візьми княже гатиле сей меч і вдар ним камінь дикий
common_voice_uk_24017874.wav	гано ліпше відає він ходив у тоті краї
common_voice_uk_24017875.wav	ти-с великий князь витичівський
common_voice_uk_24017891.wav	але вкривши чорне волось смушевим ковпаком він таки пішов сідлати коня тихо ворушачи губами
common_voice_uk_24017892.wav	ні землю не треба дай лише слово
common_voice_uk_24017893.wav	киянка єсмь
common_voice_uk_24017895.wav	вуйку
common_voice_uk_24017906.wav	по тому думка навернулася на старе ковач стоян порадив тоді сходити до старця славути
common_voice_uk_24017907.wav	сватоплук знову порадився зі своїми мунжами й відповів
common_voice_uk_24017908.wav	пощо так
common_voice_uk_24017912.wav	що вони чинять
common_voice_uk_24017915.wav	трьох
common_voice_uk_24017930.wav	а ти вмієш
common_voice_uk_24017931.wav	й іменномоя знаєш
common_voice_uk_24018010.wav	вмію відповів той один граматик показав у константиновому городі пощо питаєш
common_voice_uk_24018013.wav	ах ти не віголосе
common_voice_uk_24018015.wav	не к добру є сказав аж тепер богдан і княгиня теж повторила
common_voice_uk_24018016.wav	за куди знаєш по-русинському
common_voice_uk_24018019.wav	мабути се инчих тут городів не виджу мабути то то й єсть заградии їхній
common_voice_uk_24018022.wav	цо хчеш княже
common_voice_uk_24018023.wav	князь одвернувся під стіну й провів рукою по тесаних колодах
common_voice_uk_24018024.wav	молода повторив король і незрозуміле було чи він погоджується чи заперечує
common_voice_uk_24018025.wav	і землю-с їв
common_voice_uk_24018027.wav	де був єси стільки
common_voice_uk_24035618.wav	заради цих державних інтересів жертвували не лише працею кров'ю а й совістю
common_voice_uk_24035620.wav	то речеш ні братті їй сестер устряв розмову борислав
common_voice_uk_24035632.wav	рідна сестра
common_voice_uk_24035633.wav	таке багатство міг би-с мати й ти архонте
common_voice_uk_24035634.wav	більшого не рекла нічого
common_voice_uk_24035645.wav	вречу хай прокудять тебе з двірця бичами
common_voice_uk_24035646.wav	чув єси про золотий скіт змія горянина
common_voice_uk_24035657.wav	дай княже я поцілую твої вуста впосліднє я люблю тебе
common_voice_uk_24035675.wav	пощо мовив гано
common_voice_uk_24035676.wav	де є князь київський
common_voice_uk_24035708.wav	на що натяк зводиш отроче
common_voice_uk_24035711.wav	то приведи
common_voice_uk_24035713.wav	вдовиця єсмь
common_voice_uk_24035714.wav	хай тебе чорти стережуть якось байдуже висварив його рогволод а харя мурин відповів
common_voice_uk_24035716.wav	адаміс перелякано скинув на князя очі
common_voice_uk_24035723.wav	де є ждан
common_voice_uk_24035724.wav	який то є юрів меч
common_voice_uk_24035746.wav	ждан виступив на видноту й сказав пильно дивлячись у змарніле князеве обличчя
common_voice_uk_24035779.wav	скілько є воїв моїх
common_voice_uk_24035780.wav	місяця травного
common_voice_uk_24035782.wav	пощ пощо бо не виджу о праву руч себе гатила ось пощо
common_voice_uk_24035783.wav	стережу
common_voice_uk_24035794.wav	іди йди підохотив його борислав має юну жону князівну хай іде йди
common_voice_uk_24035795.wav	князя джурджа вихопилося в борислава й він почервонів
common_voice_uk_24035797.wav	не мов такего сестро
common_voice_uk_24035810.wav	такої такої загули хлопці й дівчата
common_voice_uk_24035814.wav	богдан відповів через тлумача костана
